<DATE>,<VOL>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
13/09/18,32,107330.0000000,107340.0000000,107300.0000000,107300.0000000
13/09/18,16,107300.0000000,107370.0000000,107300.0000000,107350.0000000
13/09/18,152,107340.0000000,107350.0000000,107340.0000000,107350.0000000
13/09/18,5,107380.0000000,107380.0000000,107370.0000000,107370.0000000
13/09/18,55,107380.0000000,107410.0000000,107380.0000000,107400.0000000
13/09/18,75,107380.0000000,107380.0000000,107330.0000000,107350.0000000
13/09/18,14,107400.0000000,107400.0000000,107340.0000000,107340.0000000
13/09/18,2,107330.0000000,107330.0000000,107330.0000000,107330.0000000
13/09/18,13,107320.0000000,107330.0000000,107310.0000000,107310.0000000
13/09/18,5,107370.0000000,107390.0000000,107370.0000000,107390.0000000
13/09/18,6,107350.0000000,107350.0000000,107310.0000000,107310.0000000
13/09/18,40,107310.0000000,107310.0000000,107270.0000000,107280.0000000
13/09/18,12,107280.0000000,107290.0000000,107250.0000000,107260.0000000
13/09/18,65,107260.0000000,107270.0000000,107250.0000000,107250.0000000
13/09/18,54,107200.0000000,107200.0000000,107170.0000000,107180.0000000
13/09/18,12,107150.0000000,107190.0000000,107110.0000000,107170.0000000
13/09/18,6,107170.0000000,107180.0000000,107170.0000000,107180.0000000
13/09/18,4,107190.0000000,107200.0000000,107190.0000000,107190.0000000
13/09/18,13,107160.0000000,107160.0000000,107130.0000000,107130.0000000
13/09/18,6,107130.0000000,107150.0000000,107130.0000000,107150.0000000
13/09/18,185,107160.0000000,107170.0000000,107110.0000000,107110.0000000
13/09/18,29,107100.0000000,107100.0000000,107010.0000000,107010.0000000
13/09/18,11,107040.0000000,107100.0000000,107020.0000000,107100.0000000
13/09/18,10,107080.0000000,107080.0000000,107050.0000000,107080.0000000
13/09/18,2,107070.0000000,107070.0000000,107060.0000000,107060.0000000
13/09/18,155,107030.0000000,107080.0000000,107030.0000000,107080.0000000
13/09/18,3,107100.0000000,107140.0000000,107100.0000000,107140.0000000
13/09/18,3,107140.0000000,107180.0000000,107140.0000000,107160.0000000
13/09/18,9,107140.0000000,107170.0000000,107110.0000000,107170.0000000
13/09/18,8,107170.0000000,107170.0000000,107140.0000000,107140.0000000
13/09/18,17,107130.0000000,107130.0000000,107120.0000000,107130.0000000
13/09/18,44,107130.0000000,107130.0000000,107080.0000000,107090.0000000
13/09/18,13,107080.0000000,107100.0000000,107080.0000000,107100.0000000
13/09/18,14,107090.0000000,107090.0000000,107030.0000000,107030.0000000
13/09/18,27,107030.0000000,107030.0000000,106980.0000000,107000.0000000
13/09/18,4,107020.0000000,107030.0000000,107010.0000000,107030.0000000
13/09/18,20,107030.0000000,107080.0000000,107030.0000000,107080.0000000
13/09/18,6,107090.0000000,107100.0000000,107090.0000000,107100.0000000
13/09/18,8,107150.0000000,107210.0000000,107150.0000000,107210.0000000
13/09/18,69,107200.0000000,107260.0000000,107200.0000000,107220.0000000
13/09/18,9,107230.0000000,107230.0000000,107210.0000000,107230.0000000
13/09/18,5,107240.0000000,107240.0000000,107240.0000000,107240.0000000
13/09/18,4,107220.0000000,107220.0000000,107220.0000000,107220.0000000
13/09/18,11,107250.0000000,107250.0000000,107240.0000000,107240.0000000
13/09/18,31,107220.0000000,107250.0000000,107220.0000000,107250.0000000
13/09/18,1,107220.0000000,107220.0000000,107220.0000000,107220.0000000
13/09/18,21,107250.0000000,107250.0000000,107250.0000000,107250.0000000
13/09/18,94,107250.0000000,107260.0000000,107230.0000000,107230.0000000
13/09/18,6,107230.0000000,107260.0000000,107230.0000000,107260.0000000
13/09/18,13,107240.0000000,107240.0000000,107220.0000000,107240.0000000
13/09/18,4,107270.0000000,107280.0000000,107270.0000000,107280.0000000
13/09/18,91,107280.0000000,107330.0000000,107280.0000000,107280.0000000
13/09/18,17,107300.0000000,107340.0000000,107300.0000000,107340.0000000
13/09/18,1,107310.0000000,107310.0000000,107310.0000000,107310.0000000
13/09/18,3,107300.0000000,107340.0000000,107300.0000000,107340.0000000
13/09/18,65,107350.0000000,107350.0000000,107350.0000000,107350.0000000
13/09/18,2,107340.0000000,107340.0000000,107340.0000000,107340.0000000
13/09/18,3,107280.0000000,107280.0000000,107280.0000000,107280.0000000
13/09/18,4,107290.0000000,107290.0000000,107290.0000000,107290.0000000
13/09/18,51,107300.0000000,107360.0000000,107300.0000000,107360.0000000
13/09/18,5,107390.0000000,107390.0000000,107300.0000000,107300.0000000
13/09/18,1,107320.0000000,107320.0000000,107320.0000000,107320.0000000
13/09/18,53,107290.0000000,107300.0000000,107290.0000000,107300.0000000
13/09/18,4,107280.0000000,107300.0000000,107280.0000000,107300.0000000
13/09/18,3,107310.0000000,107310.0000000,107310.0000000,107310.0000000
13/09/18,12,107330.0000000,107330.0000000,107310.0000000,107330.0000000
13/09/18,1,107320.0000000,107320.0000000,107320.0000000,107320.0000000
13/09/18,3,107300.0000000,107300.0000000,107300.0000000,107300.0000000
13/09/18,3,107340.0000000,107350.0000000,107340.0000000,107350.0000000
13/09/18,11,107290.0000000,107300.0000000,107290.0000000,107300.0000000
13/09/18,10,107290.0000000,107350.0000000,107290.0000000,107340.0000000
13/09/18,4,107350.0000000,107350.0000000,107350.0000000,107350.0000000
13/09/18,4,107310.0000000,107310.0000000,107310.0000000,107310.0000000
13/09/18,3,107340.0000000,107360.0000000,107340.0000000,107360.0000000
13/09/18,34,107390.0000000,107430.0000000,107380.0000000,107420.0000000
13/09/18,2,107380.0000000,107400.0000000,107380.0000000,107400.0000000
13/09/18,14,107370.0000000,107380.0000000,107360.0000000,107360.0000000
13/09/18,9,107380.0000000,107380.0000000,107360.0000000,107360.0000000
13/09/18,4,107370.0000000,107370.0000000,107360.0000000,107360.0000000
13/09/18,3,107360.0000000,107360.0000000,107360.0000000,107360.0000000
13/09/18,1,107370.0000000,107370.0000000,107370.0000000,107370.0000000
13/09/18,1,107350.0000000,107350.0000000,107350.0000000,107350.0000000
13/09/18,2,107360.0000000,107380.0000000,107360.0000000,107380.0000000
13/09/18,9,107380.0000000,107390.0000000,107380.0000000,107390.0000000
13/09/18,1,107390.0000000,107390.0000000,107390.0000000,107390.0000000
13/09/18,5,107400.0000000,107420.0000000,107400.0000000,107410.0000000
13/09/18,1,107410.0000000,107410.0000000,107410.0000000,107410.0000000
13/09/18,1,107420.0000000,107420.0000000,107420.0000000,107420.0000000
13/09/18,4,107400.0000000,107440.0000000,107400.0000000,107440.0000000
13/09/18,67,107420.0000000,107440.0000000,107420.0000000,107430.0000000
13/09/18,11,107430.0000000,107430.0000000,107390.0000000,107390.0000000
13/09/18,1,107370.0000000,107370.0000000,107370.0000000,107370.0000000
13/09/18,10,107350.0000000,107360.0000000,107330.0000000,107360.0000000
13/09/18,2,107330.0000000,107340.0000000,107330.0000000,107340.0000000
13/09/18,3,107330.0000000,107330.0000000,107330.0000000,107330.0000000
13/09/18,2,107320.0000000,107320.0000000,107320.0000000,107320.0000000
13/09/18,1,107350.0000000,107350.0000000,107350.0000000,107350.0000000
13/09/18,1,107320.0000000,107320.0000000,107320.0000000,107320.0000000
13/09/18,13,107340.0000000,107340.0000000,107330.0000000,107330.0000000
13/09/18,58,107350.0000000,107410.0000000,107350.0000000,107410.0000000
13/09/18,4,107450.0000000,107450.0000000,107450.0000000,107450.0000000
13/09/18,55,107460.0000000,107510.0000000,107450.0000000,107470.0000000
13/09/18,5,107460.0000000,107470.0000000,107450.0000000,107450.0000000
13/09/18,2,107480.0000000,107480.0000000,107480.0000000,107480.0000000
13/09/18,10,107500.0000000,107510.0000000,107490.0000000,107490.0000000
13/09/18,4,107450.0000000,107460.0000000,107450.0000000,107460.0000000
13/09/18,23,107440.0000000,107450.0000000,107430.0000000,107430.0000000
13/09/18,101,107550.0000000,107750.0000000,107550.0000000,107690.0000000
13/09/18,77,107750.0000000,107770.0000000,107730.0000000,107750.0000000
13/09/18,52,107750.0000000,107750.0000000,107700.0000000,107700.0000000
13/09/18,48,107710.0000000,107730.0000000,107660.0000000,107730.0000000
13/09/18,21,107740.0000000,107750.0000000,107730.0000000,107730.0000000
13/09/18,130,107760.0000000,107850.0000000,107760.0000000,107840.0000000
13/09/18,39,107860.0000000,107880.0000000,107820.0000000,107850.0000000
13/09/18,13,107840.0000000,107850.0000000,107820.0000000,107820.0000000
13/09/18,55,107800.0000000,107800.0000000,107730.0000000,107770.0000000
13/09/18,5,107770.0000000,107770.0000000,107770.0000000,107770.0000000
13/09/18,40,107790.0000000,107830.0000000,107790.0000000,107820.0000000
13/09/18,61,107830.0000000,107850.0000000,107810.0000000,107850.0000000
13/09/18,3,107810.0000000,107810.0000000,107770.0000000,107770.0000000
13/09/18,10,107780.0000000,107800.0000000,107770.0000000,107800.0000000
13/09/18,11,107760.0000000,107760.0000000,107720.0000000,107740.0000000
13/09/18,7,107750.0000000,107750.0000000,107720.0000000,107740.0000000
13/09/18,11,107790.0000000,107790.0000000,107730.0000000,107730.0000000
13/09/18,19,107730.0000000,107750.0000000,107730.0000000,107730.0000000
13/09/18,2,107750.0000000,107750.0000000,107750.0000000,107750.0000000
13/09/18,13,107720.0000000,107770.0000000,107720.0000000,107770.0000000
13/09/18,1,107760.0000000,107760.0000000,107760.0000000,107760.0000000
13/09/18,20,107760.0000000,107830.0000000,107760.0000000,107830.0000000
13/09/18,90,107860.0000000,107990.0000000,107860.0000000,107920.0000000
13/09/18,50,107920.0000000,108010.0000000,107920.0000000,107990.0000000
13/09/18,46,108020.0000000,108090.0000000,107990.0000000,108050.0000000
13/09/18,65,108040.0000000,108080.0000000,108000.0000000,108070.0000000
13/09/18,27,108070.0000000,108100.0000000,108060.0000000,108100.0000000
13/09/18,87,108100.0000000,108110.0000000,108060.0000000,108110.0000000
13/09/18,44,108110.0000000,108110.0000000,108080.0000000,108100.0000000
13/09/18,53,108080.0000000,108100.0000000,108040.0000000,108040.0000000
13/09/18,86,108000.0000000,108010.0000000,108000.0000000,108000.0000000
13/09/18,17,108000.0000000,108050.0000000,108000.0000000,108050.0000000
13/09/18,4,108070.0000000,108070.0000000,108040.0000000,108040.0000000
13/09/18,5,108020.0000000,108070.0000000,108020.0000000,108070.0000000
13/09/18,3,108040.0000000,108040.0000000,108000.0000000,108000.0000000
13/09/18,36,108010.0000000,108050.0000000,108000.0000000,108000.0000000
13/09/18,13,107980.0000000,107980.0000000,107930.0000000,107930.0000000
13/09/18,5,107930.0000000,107970.0000000,107930.0000000,107970.0000000
13/09/18,1,107970.0000000,107970.0000000,107970.0000000,107970.0000000
13/09/18,17,107980.0000000,108040.0000000,107980.0000000,108020.0000000
13/09/18,56,108020.0000000,108040.0000000,108000.0000000,108030.0000000
13/09/18,2,108040.0000000,108050.0000000,108040.0000000,108050.0000000
13/09/18,4,108080.0000000,108080.0000000,108050.0000000,108050.0000000
13/09/18,12,108050.0000000,108070.0000000,108000.0000000,108020.0000000
13/09/18,2,108000.0000000,108030.0000000,108000.0000000,108030.0000000
13/09/18,6,108000.0000000,108030.0000000,107980.0000000,107980.0000000
13/09/18,1,107990.0000000,107990.0000000,107990.0000000,107990.0000000
13/09/18,13,107970.0000000,108010.0000000,107970.0000000,108010.0000000
13/09/18,5,108000.0000000,108030.0000000,107990.0000000,108030.0000000
13/09/18,1,108030.0000000,108030.0000000,108030.0000000,108030.0000000
13/09/18,55,107970.0000000,107970.0000000,107920.0000000,107940.0000000
13/09/18,22,107960.0000000,107960.0000000,107930.0000000,107950.0000000
13/09/18,5,107940.0000000,107940.0000000,107920.0000000,107930.0000000
13/09/18,60,107950.0000000,107950.0000000,107910.0000000,107930.0000000
13/09/18,86,107950.0000000,107950.0000000,107860.0000000,107900.0000000
13/09/18,2,107910.0000000,107910.0000000,107910.0000000,107910.0000000
13/09/18,6,107920.0000000,107970.0000000,107920.0000000,107970.0000000
13/09/18,6,107930.0000000,107930.0000000,107910.0000000,107910.0000000
13/09/18,19,107910.0000000,107910.0000000,107870.0000000,107870.0000000
13/09/18,16,107810.0000000,107820.0000000,107760.0000000,107760.0000000
13/09/18,25,107770.0000000,107780.0000000,107750.0000000,107750.0000000
13/09/18,36,107750.0000000,107780.0000000,107730.0000000,107780.0000000
13/09/18,13,107780.0000000,107800.0000000,107780.0000000,107800.0000000
13/09/18,1,107770.0000000,107770.0000000,107770.0000000,107770.0000000
13/09/18,4,107800.0000000,107840.0000000,107800.0000000,107840.0000000
13/09/18,4,107840.0000000,107860.0000000,107840.0000000,107860.0000000
13/09/18,2,107850.0000000,107850.0000000,107820.0000000,107820.0000000
13/09/18,13,107770.0000000,107770.0000000,107760.0000000,107760.0000000
13/09/18,2,107770.0000000,107790.0000000,107770.0000000,107790.0000000
13/09/18,4,107740.0000000,107740.0000000,107740.0000000,107740.0000000
13/09/18,2,107740.0000000,107740.0000000,107740.0000000,107740.0000000
13/09/18,3,107790.0000000,107800.0000000,107790.0000000,107800.0000000
13/09/18,15,107850.0000000,107860.0000000,107820.0000000,107820.0000000
13/09/18,13,107890.0000000,107930.0000000,107890.0000000,107930.0000000
13/09/18,5,107920.0000000,107920.0000000,107890.0000000,107890.0000000
13/09/18,6,107910.0000000,107950.0000000,107910.0000000,107950.0000000
13/09/18,15,107940.0000000,108000.0000000,107940.0000000,107970.0000000
13/09/18,4,107940.0000000,107940.0000000,107920.0000000,107920.0000000
13/09/18,2,107920.0000000,107920.0000000,107920.0000000,107920.0000000
13/09/18,4,107890.0000000,107930.0000000,107890.0000000,107930.0000000
13/09/18,3,107910.0000000,107910.0000000,107910.0000000,107910.0000000
13/09/18,86,107950.0000000,108120.0000000,107950.0000000,108040.0000000
13/09/18,8,108070.0000000,108110.0000000,108070.0000000,108110.0000000
13/09/18,6,108100.0000000,108100.0000000,108070.0000000,108070.0000000
13/09/18,9,108070.0000000,108070.0000000,108010.0000000,108010.0000000
13/09/18,3,108050.0000000,108050.0000000,108040.0000000,108040.0000000
13/09/18,16,108070.0000000,108100.0000000,108070.0000000,108100.0000000
13/09/18,5,108080.0000000,108080.0000000,108050.0000000,108050.0000000
13/09/18,4,108060.0000000,108080.0000000,108060.0000000,108080.0000000
13/09/18,132,108050.0000000,108160.0000000,108050.0000000,108150.0000000
13/09/18,30,108180.0000000,108210.0000000,108170.0000000,108210.0000000
13/09/18,8,108200.0000000,108200.0000000,108130.0000000,108130.0000000
13/09/18,23,108170.0000000,108170.0000000,108170.0000000,108170.0000000
13/09/18,84,108140.0000000,108220.0000000,108140.0000000,108220.0000000
13/09/18,12,108180.0000000,108220.0000000,108180.0000000,108220.0000000
13/09/18,9,108210.0000000,108210.0000000,108180.0000000,108180.0000000
13/09/18,19,108190.0000000,108210.0000000,108190.0000000,108200.0000000
13/09/18,14,108220.0000000,108220.0000000,108210.0000000,108210.0000000
13/09/18,3,108180.0000000,108180.0000000,108150.0000000,108150.0000000
13/09/18,33,108160.0000000,108190.0000000,108160.0000000,108190.0000000
13/09/18,14,108230.0000000,108250.0000000,108230.0000000,108250.0000000
13/09/18,8,108270.0000000,108270.0000000,108250.0000000,108260.0000000
13/09/18,25,108270.0000000,108270.0000000,108240.0000000,108260.0000000
13/09/18,6,108200.0000000,108200.0000000,108170.0000000,108170.0000000
13/09/18,11,108170.0000000,108170.0000000,108150.0000000,108160.0000000
13/09/18,2,108150.0000000,108150.0000000,108150.0000000,108150.0000000
13/09/18,42,108150.0000000,108150.0000000,108120.0000000,108150.0000000
13/09/18,2,108150.0000000,108150.0000000,108130.0000000,108130.0000000
13/09/18,7,108140.0000000,108140.0000000,108120.0000000,108140.0000000
13/09/18,2,108180.0000000,108180.0000000,108180.0000000,108180.0000000
13/09/18,15,108200.0000000,108240.0000000,108200.0000000,108210.0000000
13/09/18,1,108230.0000000,108230.0000000,108230.0000000,108230.0000000
13/09/18,6,108200.0000000,108200.0000000,108200.0000000,108200.0000000
13/09/18,20,108210.0000000,108210.0000000,108160.0000000,108170.0000000
13/09/18,2,108170.0000000,108170.0000000,108170.0000000,108170.0000000
13/09/18,28,108130.0000000,108150.0000000,108080.0000000,108080.0000000
13/09/18,12,108100.0000000,108120.0000000,108100.0000000,108110.0000000
13/09/18,5,108120.0000000,108120.0000000,108120.0000000,108120.0000000
13/09/18,25,108100.0000000,108100.0000000,108100.0000000,108100.0000000
13/09/18,1,108110.0000000,108110.0000000,108110.0000000,108110.0000000
13/09/18,1,108110.0000000,108110.0000000,108110.0000000,108110.0000000
13/09/18,4,108110.0000000,108110.0000000,108090.0000000,108090.0000000
13/09/18,29,108080.0000000,108140.0000000,108080.0000000,108130.0000000
13/09/18,26,108150.0000000,108150.0000000,108150.0000000,108150.0000000
13/09/18,34,108180.0000000,108200.0000000,108170.0000000,108200.0000000
13/09/18,197,108200.0000000,108220.0000000,108200.0000000,108220.0000000
13/09/18,1,108220.0000000,108220.0000000,108220.0000000,108220.0000000
13/09/18,51,108210.0000000,108230.0000000,108210.0000000,108230.0000000
13/09/18,20,108230.0000000,108230.0000000,108210.0000000,108210.0000000
13/09/18,20,108220.0000000,108240.0000000,108200.0000000,108200.0000000
13/09/18,6,108230.0000000,108230.0000000,108220.0000000,108230.0000000
13/09/18,1,108240.0000000,108240.0000000,108240.0000000,108240.0000000
13/09/18,21,108240.0000000,108240.0000000,108190.0000000,108190.0000000
13/09/18,5,108180.0000000,108180.0000000,108180.0000000,108180.0000000
13/09/18,55,108190.0000000,108190.0000000,108150.0000000,108180.0000000
13/09/18,4,108200.0000000,108220.0000000,108200.0000000,108220.0000000
13/09/18,8,108190.0000000,108200.0000000,108190.0000000,108200.0000000
13/09/18,72,108140.0000000,108230.0000000,108140.0000000,108210.0000000
13/09/18,16,108200.0000000,108250.0000000,108200.0000000,108230.0000000
13/09/18,49,108250.0000000,108280.0000000,108240.0000000,108280.0000000
13/09/18,39,108270.0000000,108300.0000000,108270.0000000,108270.0000000
13/09/18,4,108290.0000000,108290.0000000,108290.0000000,108290.0000000
13/09/18,12,108270.0000000,108320.0000000,108270.0000000,108320.0000000
13/09/18,98,108290.0000000,108400.0000000,108290.0000000,108400.0000000
13/09/18,69,108400.0000000,108400.0000000,108350.0000000,108400.0000000
13/09/18,225,108420.0000000,108570.0000000,108420.0000000,108570.0000000
13/09/18,139,108570.0000000,108630.0000000,108570.0000000,108630.0000000
13/09/18,89,108650.0000000,108700.0000000,108630.0000000,108690.0000000
13/09/18,38,108650.0000000,108680.0000000,108630.0000000,108680.0000000
13/09/18,69,108700.0000000,108700.0000000,108660.0000000,108660.0000000
13/09/18,90,108690.0000000,108700.0000000,108660.0000000,108690.0000000
13/09/18,24,108690.0000000,108690.0000000,108630.0000000,108640.0000000
13/09/18,15,108630.0000000,108630.0000000,108600.0000000,108600.0000000
13/09/18,7,108600.0000000,108600.0000000,108600.0000000,108600.0000000
13/09/18,78,108590.0000000,108740.0000000,108590.0000000,108680.0000000
13/09/18,7,108660.0000000,108660.0000000,108640.0000000,108650.0000000
13/09/18,11,108600.0000000,108600.0000000,108560.0000000,108600.0000000
13/09/18,7,108590.0000000,108590.0000000,108570.0000000,108570.0000000
13/09/18,4,108570.0000000,108580.0000000,108560.0000000,108560.0000000
13/09/18,18,108590.0000000,108620.0000000,108590.0000000,108620.0000000
13/09/18,48,108620.0000000,108620.0000000,108560.0000000,108560.0000000
