group,subject_id,time_start,pair_id,teacher_name,teacher_id,work_type_id,room,format,subject,type,time_end,flow_type_id,work_type,building,flow_id
Прогр. 2,26245,10:00,2597227597,Письмак Алексей Евгеньевич,160739,1,Актовый зал (1216/0 (усл)),Очно - дистанционный ,Программирование,Лекции,11:30,2,Лекции,ул.Ломоносова\, д.9\, лит. М,34064
ИНФОРМ 3.9,25416,13:30,2586987085,Малышева Татьяна Алексеевна,165275,2,2117,Очно - дистанционный ,Информатика,Лабораторные занятия,15:00,2,Лабораторные занятия,Кронверкский пр.\, д.49\, лит.А,35185
ИНФОРМ 3.9,25416,15:20,2586987427,Малышева Татьяна Алексеевна,165275,2,2117,Очно - дистанционный ,Информатика,Лабораторные занятия,16:50,2,Лабораторные занятия,Кронверкский пр.\, д.49\, лит.А,35185
